影片名;导演;主演;影片类型;评分;评分人数;短评数
星际穿越 Interstellar;克里斯托弗·诺兰;马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,麦肯吉·弗依,卡西·阿弗莱克,迈克尔·凯恩,马特·达蒙,蒂莫西·柴勒梅德,艾伦·伯斯汀,约翰·利思戈,韦斯·本特利,大卫·吉亚西,比尔·欧文,托弗·戈瑞斯,科莱特·沃夫,弗朗西斯·X.麦卡蒂,安德鲁·博尔巴,乔什·斯图沃特,莱雅·卡里恩斯,利亚姆·迪金森,杰夫·赫普内尔,伊莱耶斯·加贝尔,布鲁克·史密斯,大卫·奥伊罗,威廉姆·德瓦内,拉什·费加,格里芬·弗雷泽,弗洛拉·诺兰;剧情,科幻,冒险;9.4;1551218;386885
三傻大闹宝莱坞 3 Idiots;拉吉库马尔·希拉尼;阿米尔·汗,卡琳娜·卡普尔,马达范,沙尔曼·乔希,奥米·瓦依达,博曼·伊拉尼,莫娜·辛格,拉杰夫·拉宾德拉纳特安;剧情,喜剧,爱情,歌舞;9.2;1694210;340477
釜山行 부산행;延尚昊;孔刘,郑有美,马东锡,金秀安,金义城,崔宇植,安昭熙,崔奎华,郑锡勇,艺秀晶,朴明申,张赫镇,禹都临,沈恩京;动作,惊悚,灾难;8.6;1070668;246036
功勋;郑晓龙,毛卫宁,沈严,康洪雷,杨阳,林楠,杨文军,阎建钢;王雷,雷佳音,郭涛,黄晓明,蒋欣,佟大为,周迅,黄志忠,邵汶,郝荣光,鲁诺,孙锡堃,倪妮,杨烁,王骁,是安,田小洁,柯宇,李添诺,尤勇智,胡可,李野萍,白凡,刚毅,马佳玛尧,孙茜,丁勇岱,娄乃鸣,迟蓬,罗京民,刘小蕙,德姬,陈好,章贺,黄小蕾,王洛勇,宿宇杰,管云鹏,陈震,夷永定,王鑫,张凯丽,倪萍,孟阿赛,张洪杰,左小青,迟帅,李光洁,陈赫,王菁华,邢岷山,刘宇宁,菅纫姿,孙俪,刘奕君,王自健,王亚楠,朱刚日尧,张颂文,陈宝国,奚美娟,于荣光,董洁,任重,蒋梦婕,柴隽哲,威力斯;剧情,传记;9.0;63595;22042
我和我的祖国;陈凯歌,张一白,管虎,薛晓路,徐峥,宁浩,文牧野;黄渤,张译,韩昊霖,杜江,葛优,刘昊然,宋佳,王千源,任素汐,吴京,朱一龙,王东,陈飞宇,佟丽娅,欧豪,张嘉益,惠英红,龚蓓苾,田壮壮,韩东君,辛柏青,周冬雨,任达华,江珊,王砚辉,耿乐,姜武,梁静,佟大为,魏晨,胡军,王天辰,彭昱畅,罗海琼,郭丞,周依然,樊雨洁,刘涛,马伊琍,张建亚,徐峥,王洛勇,高亚麟,王道铁,程禹森,马书良,景海鹏,陈冬,雷佳音,张子枫,陶虹,郭京飞,袁文康,贾晨飞,邵汶,张芝华,段博文,郎平;剧情;7.6;939069;290812
唐人街探案3;陈思诚;王宝强,刘昊然,妻夫木聪,托尼·贾,长泽雅美,染谷将太,铃木保奈美,浅野忠信,三浦友和,尚语贤,肖央,张子枫,邱泽,张钧甯,马伯骞,程潇,陈哲远,李明轩,崔雨鑫,张一白,文咏珊,张熙然,克拉拉,树林伸,刘德华,陈思诚,平山日和,奥田瑛二,六平直政,酒向芳,秋山成勋,桥本爱实,长井短,宇治清高,张国强,大鹏,陈祉希,林沐然,田代良德;喜剧,悬疑;5.3;995248;466841
西虹市首富;闫非,彭大魔;沈腾,宋芸桦,张一鸣,张晨光,常远,魏翔,赵自强,九孔,李立群,王成思,徐冬冬,艾伦,杨皓宇,黄才伦,王力宏,包贝尔,郎咸平,张绍刚,杨文哲,陶亮,王赞,黄杨,刘鉴,杨沅翰,林炳宝,骆佳,陈昊明,臧一人;喜剧;6.6;937634;268752
海上钢琴师 La leggenda del pianista sull'oceano;朱塞佩·托纳多雷;蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩,克兰伦斯·威廉姆斯三世,梅兰尼·蒂埃里,皮特·沃恩,尼尔·奥布赖恩,阿尔贝托·巴斯克斯,加布里埃莱·拉维亚,科里·巴克,西德尼·科尔,Luigi De Luca,尼古拉·迪·平托,费米·依鲁福祖,伊斯顿·盖奇,凯文·麦克纳利,布莱恩·普林格,沙拉·鲁宾,希思科特·威廉姆斯,阿妮妲·扎格利亚,安吉洛·迪洛雷塔;剧情,音乐;9.3;1516159;309089
功夫;周星驰;周星驰,元秋,元华,黄圣依,梁小龙,陈国坤,田启文,林子聪,林雪,冯克安,释彦能,冯小刚,袁祥仁,张一白,赵志凌,董志华,何文辉,陈凯师,贾康熙,林子善,任珈锐,王仕颖;喜剧,动作,犯罪,奇幻;8.7;960543;115689
当幸福来敲门 The Pursuit of Happyness;加布里埃莱·穆奇诺;威尔·史密斯,贾登·史密斯,坦迪·牛顿,布莱恩·豪威 ,詹姆斯·凯伦,丹·卡斯泰兰尼塔,柯特·富勒,塔卡尤·费舍尔,凯文·韦斯特,乔治·张,戴维·迈克尔·西尔弗曼,多米尼克·博夫,杰弗·卡伦,乔伊芙·拉文,斯科特·克拉斯;剧情,家庭,传记;9.2;1373794;225565
情书 Love Letter;岩井俊二;中山美穗,丰川悦司,酒井美纪,柏原崇,范文雀,篠原胜之,铃木庆一,田口智朗,加贺麻理子,光石研,铃木兰兰,盐见三省,中村久美,梅田凡乃,长田江身子 ,小栗香织,神户浩,酒井敏也,山口诗史,山崎一,德井优,武藤寿美;剧情,爱情;8.9;961247;257835
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒;刘镇伟;周星驰,吴孟达,罗家英,蓝洁瑛,莫文蔚,江约诚,陆树铭,刘镇伟,朱茵,李健仁;喜剧,爱情,奇幻,古装;9.0;1104380;123934
唐伯虎点秋香 唐伯虎點秋香;李力持;周星驰,巩俐,陈百祥,郑佩佩,朱咪咪,梁家仁,苑琼丹,梁荣忠,黄一山,黄霑,吴镇宇,刘家辉,蓝洁瑛,谷德昭,陈辉虹,李健仁,宣萱,温翠苹;喜剧,爱情,古装;8.7;956722;101789
阿凡达 Avatar;詹姆斯·卡梅隆;萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,史蒂芬·朗,米歇尔·罗德里格兹,吉奥瓦尼·瑞比西,乔·大卫·摩尔 ,希·庞德,韦斯·斯塔迪,拉兹·阿隆索,迪利普·劳,马特·杰拉德,肖恩·安东尼·莫兰;动作,科幻,冒险;8.8;1250079;238352
钛 Titane;朱利亚·迪库诺;阿加莎·罗塞勒,文森特·林顿,加朗斯·马里利埃,贝特朗·波尼洛,拉明·西索科,弗雷德里克·雅尔丹,弗洛伦斯·詹纳斯,Diong-Kéba Tacu,Laïs Salameh,Mara Cisse,Marin Judas,Myriem Akheddiou,Céline Carrère,Adèle Guigue,Thibault Cathalifaud,Dominique Frot;剧情,恐怖;6.4;47089;21889
无间道 無間道;刘伟强,麦兆辉;刘德华,梁朝伟,黄秋生,曾志伟,郑秀文,陈慧琳,陈冠希,余文乐,杜汶泽,林家栋,萧亚轩;剧情,惊悚,犯罪;9.3;1191572;192301
性爱自修室 第三季 Sex Education Season 3;本·泰勒,鲁尼亚罗·马普福莫;阿萨·巴特菲尔德,吉莲·安德森,舒提·盖特瓦,艾玛·麦基,康纳·斯温德尔,凯达·威廉姆斯特灵,埃利斯戴尔·皮特里,米米·基恩,艾米·卢·伍德,钱尼尔·库勒,西蒙娜·阿什利,塔尼娅·雷诺兹,帕特里夏·艾莉森,米卡埃尔·佩斯布兰特,拉卡·塔克雷尔,杰米玛·科克,安-玛莉·杜芙,詹森·艾萨克,吉姆·霍威克,萨曼莎·斯毕洛,萨米·瓦塔尔巴利,乔治·罗宾森,克里斯·詹克斯,钦尼·埃祖杜,杜阿·萨利赫,乔治·索纳,利诺·法希奥利,阿明·卡丽玛,乔乔·马卡里,露易丝·奇米巴,亚历山大·韦斯特伍德;剧情,喜剧,爱情;9.0;100678;33469
