影片名;导演;主演;影片类型;评分;评分人数;短评数
不义联盟：人间之神 Injustice;Matt Peters;吉莉安·雅各布斯,安松·蒙特,劳拉·贝莉,贾斯汀·哈特雷,珍妮特·瓦尼,奥利弗·赫斯顿,弗雷德·塔特西奥;剧情,奇幻,冒险;4.9;2400;1000
摩登情爱 第二季 Modern Love Season 2;约翰·卡尼,杰西·派瑞兹,玛尔塔·坎宁安,瑟琳·赫德,罗根·乔治,约翰·克劳利,安德鲁·兰内斯;明妮·德里弗,唐·威彻利,汤姆·伯克,佐伊·晁,格本加·阿金纳格贝,露西·宝通,基特·哈灵顿,米兰达·理查森,杰克·莱诺,多米尼克·菲什巴克,艾萨克·鲍威尔,米兰·雷,露露·威尔逊,格蕾丝·爱德华兹,特尔奇·休,珀尔·泽尔丁,琳达·鲍威尔,达米安·加尔韦兹,加内特·赫德兰,安娜·帕奎因,洁娜·易,本·拉普帕波特,马奎斯·罗德里格斯,赞恩·派斯,詹姆斯·斯卡利,凯思琳·加拉格尔,祖赞娜·斯扎德科夫斯基,苏菲·奥康内多,托比亚斯·门基斯,玛丽亚·迪齐亚,阿帕纳·纳彻,妮基·米歇尔·詹姆斯,苏珊·布莱克威尔,瑞恩·史帕恩,西蒙·德兰尼,扎拉·德夫林,基思·麦克利恩,阿里斯托F.卡迪,迈克尔·温·古查多;喜剧,爱情;8.1;27255;10136
风语咒;刘阔;路知行,阎萌萌,褚珺,边江,山新,郭政建,张震,苗壮,王冠南,张博恒,惠龙,王凯,苏俣,白雪岑,赵述仁,刘梓乾,王思琦,刘美奂;动画,奇幻;6.8;142191;49694
神雕侠侣 神雕俠侶;李添胜;古天乐,李若彤,白彪,魏秋桦,傅明宪,李绮虹,雪梨,简佩筠,张可颐,刘丹,郭德信,詹秉熙,朱铁和,骆应钧,吴家辉,李家强,戴志伟,江毅,黄仲匡,张翼,苏玉华,黎耀祥,李国麟,吴家乐,李子雄,何洁珊,李耀景,冯晓文,刘江,李丽丽,陈启泰,蔡云霞,李桂英,黄智贤,温文英,刘家辉,冯素波,骏雄,李子奇,关菁,张鸿昌,罗兰,张延,黎汉持,马海伦,蔡国庆,鲁振顺,焦雄,麦子云,陈狄克,廖丽丽,陈安莹,虞天伟,博君,游飙,吕剑光,孙季卿,区岳,罗君左,戴少民,邓汝超,伍文生,汤俊明,张宏伟,薛纯基,何金灵,简文达,谭一清,陈中坚,梁健平,谈佩珊,黄恺欣,梁明华,陈永欣,戴耀明,陆希扬,何拳君,黄天铎,麦嘉伦,邓煜荣,刘桂芳,许宝贤,朱乐辉,郑家生,于枫,石云,张俊华,张汉斌,朱祖权,韩平,陈少华,李军,李国沅,朱伟达,陈展鹏,郑雷,王维德,梁雪湄,郭卓桦,何浩源,黄伟琳,冯瑞珍,凌汉,何美好,张诗韵,林敬刚,梁钦棋,梁启智,梁少秋,李海生;爱情,武侠,古装;9.2;179268;49697
白雪公主和七个小矮人 Snow White and the Seven Dwarfs;戴维·汉德;阿德里亚娜·卡塞洛蒂,罗伊·阿特威尔,Stuart Buchanan,Hall Johnson Choir;爱情,动画,歌舞,家庭,奇幻;8.4;108380;12991
飓风营救 Taken;皮埃尔·莫瑞尔;连姆·尼森,玛姬·格蕾斯,法米克·詹森,利兰·奥瑟,强·格瑞斯,大卫·沃肖夫斯基,凯蒂·卡西迪,山德·贝克利;剧情,动作,惊悚,犯罪;8.3;234784;49336
爱的迫降 사랑의 불시착;李政孝;玄彬,孙艺珍,徐智慧,金正贤,全国焕,郑爱丽,河锡辰,南庆邑,方银振,黄雨瑟惠,尹智敏,张慧珍,朴明勋,金善映,金贞兰,张素妍,吴万石,金永敏,郑敬淏,金秀贤,崔智友,朴圣雄,罗映姫,金淑,李信永,崔代勋,杨景元,汤峻相,车清华,高圭弼,朴亨洙,崔承允,吴在世,徐熙,安秀彬,吴贞媛;剧情,喜剧,爱情;8.3;231866;87161
恶作剧之吻 惡作劇之吻;瞿友宁;郑元畅,林依晨,赵咏华,唐从圣,汪东城,许玮甯,张永正;喜剧,爱情;9.0;171722;47986
绅士们 The Gentlemen;盖·里奇;马修·麦康纳,查理·汉纳姆,休·格兰特,亨利·戈尔丁,米歇尔·道克瑞,杰瑞米·斯特朗,琳·勒内,科林·法瑞尔,汤姆·吴,奇迪·阿朱福,埃迪·马森,杰森·王,约翰·达格尔什,乔丹·朗,莉莉·弗雷泽,Gershwyn Eustache Jnr,萨缪尔·韦斯特,杰拉丁·萨莫维尔,可可·萨姆纳,弗朗茨·德拉姆,克里斯托弗·埃万格罗,詹姆斯·沃伦,汤姆·里斯哈里斯,丹尼·格里芬,马克斯·班内特,尤金娜·库日敏娜,布鲁斯·钟,阿什利·马克圭尔,乔治·阿斯普雷,杰克·琼斯,马文·坎贝尔,莫里斯·李,拉塞尔·巴洛格,伊川东吾,麦凯尔·戴维,Dominic Gibbs,布莱特妮·阿什沃斯,妮科尔·亨布拉,杰森· 莱恩斯,盖·里奇;喜剧,动作,犯罪;8.3;197935;59371
Move to Heaven：我是遗物整理师 무브 투 헤븐: 나는 유품 정리사입니다;金成浩;李帝勋,汤峻相,洪承熙,李宰旭,崔秀英,池珍熙,林元熙,梁洪硕,尹智慧,柳善;剧情;9.1;59174;18583
狄仁杰之通天帝国;徐克;刘德华,刘嘉玲,李冰冰,梁家辉,邓超,泰迪·罗宾,吴耀汉,姚橹,刘金山,马今,秦焰,王德顺,赵家林,何晟铭,蒋燕鸣,黄信纲,陈晓,哈罗扬,符荷晴,徐楠,柴进,沈盈辛,姜倩,张家鲁,成红军,教学海,陆明,贾金虎,袁征兵;动作,悬疑,古装;6.6;256171;53369
丹麦女孩 The Danish Girl;汤姆·霍伯;埃迪·雷德梅恩,艾丽西亚·维坎德,本·卫肖,塞巴斯蒂安·科赫,艾梅柏·希尔德,马提亚斯·修奈尔,尼古拉斯·伍德森,皮普·托伦斯,克劳斯·布埃,埃默拉尔德·芬内尔,理查德·迪克森;剧情,爱情,同性,传记;8.3;214346;64319
暗格里的秘密;张笑安;陈哲远,徐梦洁,王泽轩,樊治欣,王一岚,刘芷微;剧情,爱情;6.7;51732;24075
桃姐;许鞍华;叶德娴,刘德华,秦海璐,秦沛,黄秋生,王馥荔,朱慧敏,江美仪,罗兰,谭炳文,梁天,宫雪花,徐克,洪金宝,于冬,宁浩,杜汶泽;剧情,家庭;8.3;292054;81679
情圣;宋晓飞,董旭;肖央,闫妮,小沈阳,乔杉,艾伦,代乐乐,常远,克拉拉,车晓,田雨,邓超,王迅,周晓鸥,赵英俊,岳小军,徐冬冬,杨成成,钟鹿纯,曹汉超;喜剧;6.0;154693;49356
倚天屠龙记;杨韬;苏有朋,贾静雯,高圆圆,张国立,张铁林,陶虹,徐锦江,王刚,郭妃丽,释小龙,梁天,董晓燕,陈紫函,阎青妤,严敏裘,陈秀丽,鲍逸琳,林静,袁苑,姬麒麟,刘长生,于文仲,杜玉明,韩夫一,刘恒宇,王岗,叶静,晋松,詹小楠,刘思彤,李庆祥,郝柏杰,沈保平;剧情,武侠,古装;8.5;145651;39524
爱宠大机密2 The Secret Life of Pets 2;克里斯·雷纳德;帕顿·奥斯瓦尔特,凯文·哈特,哈里森·福特,艾瑞克·斯通斯崔特,珍妮·斯蕾特,蒂凡尼·哈迪斯,蕾克·贝尔,达纳·卡维,鲍比·莫尼汉,汉尼拔·布勒斯,克里斯·雷纳德,艾丽·坎伯尔,皮特·霍姆斯,尼克·克罗尔,肖恩·吉布朗尼,梅雷迪斯·萨拉格尔,迈克尔·贝亚蒂,大卫·阿克德,斯科特·摩西尔,杰米·卡米尔,拉瑞恩·纽曼,布莱恩·T·德莱尼,杰西卡·迪西可,桑德拉·艾切维里亚,加斯·詹宁斯,塔拉·斯特朗,弗雷德·塔特西奥,约翰·卡西尔,斯科特·门维尔,马修·伍德;喜剧,动画,冒险;6.8;117772;33704
欢乐好声音 Sing;加斯·詹宁斯,克里斯托夫·卢尔德莱;马修·麦康纳,瑞茜·威瑟斯彭,塞思·麦克法兰,斯嘉丽·约翰逊,约翰·C·赖利,塔伦·埃哲顿,托瑞·凯利,珍妮弗·桑德斯,詹妮弗·哈德森,加斯·詹宁斯,彼得·塞拉菲诺威茨,尼克·克罗尔,贝克·班尼特,杰·费罗尔,尼克·奥弗曼,莱斯莉·琼斯,雷亚·普尔曼,亚当·布克斯顿,比尔·法玛尔;喜剧,动画,歌舞;8.1;253135;75896
九层妖塔;陆川;赵又廷,姚晨,凤小岳,李晨,唐嫣,冯瓅,李光洁,王庆祥,吴军,王德顺;动作,惊悚,冒险;4.4;183124;70008
春风沉醉的夜晚;娄烨;秦昊,陈思诚,谭卓,吴伟,江佳奇,张颂文;剧情,同性;8.1;113709;39076
我不是潘金莲;冯小刚;范冰冰,郭涛,大鹏,张嘉益,于和伟,张译,李宗翰,赵立新,田小洁,范伟,高明,刘桦,黄建新,李晨;剧情,喜剧;6.7;247552;83035
最佳出价 La migliore offerta;朱塞佩·托纳多雷;杰弗里·拉什,吉姆·斯特吉斯,西尔维娅·侯克斯,唐纳德·萨瑟兰,菲利普·杰克森,德尔莫特·克劳利,基努娜·斯塔梅尔,莉亚·科贝德,肖恩·布坎纳;剧情,爱情,悬疑;8.4;167186;47055
锦衣之下;尹涛;任嘉伦,谭松韵,韩栋,叶青,姚奕辰,路宏,韩承羽,习雪,李亭哲,丁勇岱,刘威,李诚儒,李勤勤,郭晓峰;爱情,悬疑,古装;7.5;324596;139870
倚天屠龙记之魔教教主 倚天屠龍記之魔教教主;王晶;李连杰,张敏,邱淑贞,黎姿,洪金宝,吴镇宇,吴耀汉,曹荣,闫怀礼,梁家仁,邹兆龙,田启文,张春仲,姬麒麟;动作,奇幻,武侠,古装;7.8;166330;30354
反贪风暴4 P風暴;林德禄 ;古天乐,郑嘉颖,林峯,林家栋,周秀娜,张智霖,谭耀文,张继聪,蔡瀚亿,廖启智,艾威,卢海鹏,夏嫣,黄祥兴,张松枝,张建声,栢天男,丁海峰,刘梦娜,陈静,朱鉴然,苏宸褕,石修,陈曼娜,关礼杰,薛世恒;动作,犯罪;5.9;159209;45078
赛车总动员 Cars;约翰·拉塞特,乔·兰福特;欧文·威尔逊,保罗·纽曼,邦尼·亨特,王牌接线员拉里,切奇·马林,托尼·夏尔赫布,盖多·克隆尼,詹妮弗·路易斯,保罗·杜利,迈克尔·沃利斯,乔治·卡林,凯瑟琳·海蒙德,约翰·拉岑贝格,乔·兰福特,迈克尔·基顿,伊迪·麦克勒格,安德鲁·斯坦顿,小戴尔·恩哈特,迈克尔·舒马赫,杰·雷诺,乔纳斯·里维拉,卢·罗曼诺,艾丽莎·奈特,林赛·柯林斯;喜剧,动画,冒险;8.0;170010;17375
理想之城;刘进;孙俪,赵又廷,于和伟,陈明昊,高叶,李传缨,张澍,李洪涛,赵君,钱漪,刘泊潇,杨超越,刘奕畅,许娣,施京明,尹铸胜,任重,翟小兴,何政军,扈耀之,岳旸,张天阳,代旭,张瑶,姜妍,田昊,傅首尔,鲍振江,李斌,林鹏,章涛,丁文博,程子铭,封新天,安冬,朱辉,卜宇鑫,王旭峰,金晖,屈扬,巩小榕,盛朗熙,卞涛,梁林琳,贺琦玉,段冉,霍雨佳,程巍,孙敏,张喜前,李荣东,王彦博,孙浩,马岩,周瑞,韩菲儿;剧情;7.4;84710;43592
少年班;肖洋;孙红雷,周冬雨,董子健,王栎鑫,柳希龙,李佳奇,王紫璇,赵立新,王森;剧情,喜剧;6.0;97691;25453
越狱 第一季 Prison Break Season 1;布莱特·拉特纳;温特沃斯·米勒,多米尼克·珀塞尔,彼得·斯特曼,阿莫里·诺拉斯科,罗宾·汤尼,马歇尔·奥尔曼,韦德·威廉姆斯,迈克尔·拉帕波特,罗伯特·克耐普,莎拉·韦恩·卡丽丝,乔迪·琳·欧基菲;剧情,动作,惊悚,犯罪;9.4;226785;41811
窃听风云 竊聽風雲;麦兆辉,庄文强;刘青云,古天乐,吴彦祖,张静初,方中信,王敏德,李子雄,陈伟霆;剧情,动作,惊悚;7.6;264093;41627
厕所英雄 Toilet - Ek Prem Katha;什里·那拉扬·辛;阿克谢·库玛尔,阿努潘·凯尔,布米·佩德卡尔,拉杰什·沙玛,萨钦·克德卡,莎娜·可汗,迪韦严杜·沙玛;剧情,喜剧;7.1;96233;29225
超人：钢铁之躯 Man of Steel;扎克·施奈德;亨利·卡维尔,艾米·亚当斯,迈克尔·珊农,凯文·科斯特纳,戴安·琳恩,罗素·克劳,克里斯托弗·米洛尼,安婕·特拉乌,劳伦斯·菲什伯恩,阿耶莱特·祖里尔,雅丹·古尔德,迈克尔·凯利,迪伦·斯派比利,朱利安·瑞钦斯;动作,科幻,冒险;7.2;227503;65026
寂静岭 Silent Hill;克里斯多夫·甘斯;拉达·米切尔,祖蒂·弗兰,肖恩·宾,劳瑞·侯登,黛博拉·卡拉·安格,金·寇兹,谭雅·艾伦,艾丽丝·克里奇;悬疑,恐怖;7.7;252303;48702
前任2：备胎反击战;田羽生;郑恺,郭采洁,王传君,张殿伦,张艺兴;喜剧,爱情;5.2;97512;24314
胖子行动队;包贝尔;文章,包贝尔,郭京飞,克拉拉,辣目洋子,许君聪,曾一竣,张梦露,戚玉武,仓田保昭,木幡龙,宋佳,文隽;喜剧,动作;4.2;77149;20835
山河令;成志超,马华干,李宏宇;龚俊,周也,马闻远,孙浠伦,金乐,柯乃予,李岱昆,王若麟,郭家豪,黑子,寇振海,徐少强,梁家仁,沈保平,王岗,张双利,王铂清,马兰,周小鹏,陈紫函,黄宥明,王东,魏哲鸣,范津玮,郭云飞,刘瀚阳,杨万里,袁帅,欧若拉,郭迦南;剧情,武侠,古装;8.6;566732;255535
咒术回战 呪術廻戦;朴性厚,竹下良平,筑紫大介,伊福觉志,田中宏纪,中山龙,高桥贤,御所园翔太;榎木淳弥,内田雄马,濑户麻沙美,中村悠一,诹访部顺一,小松未可子,内山昂辉,关智一,津田健次郎,岩田光央,远藤绫,黑田崇矢,木村昴,井上麻里奈,赤崎千夏,樱井孝宏,麦人,千叶繁,田中敦子,山谷祥生,岛崎信长;动画,惊悚,奇幻;8.5;129293;37260
灌篮高手 スラムダンク;西泽信孝,志水淳儿;草尾毅,绿川光,梁田清之,置鲇龙太郎,盐屋翼,原惠理子,平松晶子,田中秀幸,小野坂昌也,神奈延年,西村知道,森川智之,干本雄之,盐屋浩三,佐藤正治,江川央生,川津泰彦,大塚芳忠,石川英郎;喜剧,动画,运动;9.7;186030;41556
最后的决斗 The Last Duel;雷德利·斯科特;朱迪·科默,马特·达蒙,亚当·德赖弗,本·阿弗莱克,哈丽特·瓦尔特,埃里克斯·劳瑟,马尔顿·索克斯,威廉·休斯顿,奥利弗·科顿,内森奈尔·帕克,塔露拉·哈登,布瑞恩尼汉娜,伊恩·皮里,迈克尔·麦克埃尔哈顿,山姆·哈兹尔丁,克里夫·罗素,朱利安·弗思,柔伊·布鲁诺,亚当·那加提斯,卡伊姆赫·O'马莉,约翰·卡瓦纳,泽利科·伊万内克,克莱尔·邓恩,保罗·班迪,布朗提思·佐杜洛夫斯基,Peter Hudson,Dimitri Michelsen,科林·大卫·里斯,勃斯科·霍根,布莱恩F.穆尔维,Thomas Silberstein,Aurélien Lorgnier,Adam Goodwin;剧情,历史;8.3;60903;21622
成为简·奥斯汀 Becoming Jane;朱里安·杰拉德;安妮·海瑟薇,詹姆斯·麦卡沃伊,朱丽·沃特斯,詹姆斯·克伦威尔,玛吉·史密斯,安娜·麦克西维尔·马丁,露西·科乎,劳伦斯·福克斯,伊恩·理查森,乔·安德森,里奥·比尔,杰茜卡·阿什沃思,汤姆-沃恩-劳勒;剧情,爱情,传记;8.3;243190;59832
边境杀手 Sicario;丹尼斯·维伦纽瓦;艾米莉·布朗特,本尼西奥·德尔·托罗,乔什·布洛林,维克多·加博,乔·博恩瑟,丹尼尔·卡卢亚,杰弗里·多诺万,劳尔·特鲁希洛,胡里奥·赛迪罗,汉克·罗杰森,马克斯米利亚诺·赫尔南德斯,艾伦·D·柏温,迪兰·科宁,马修·佩奇,约翰·彼得·贝尔纳多;剧情,惊悚,犯罪;7.7;123968;32857
黄海 황해;罗泓轸;河正宇,金允石,郑满植,李哲民 ,李艾;剧情,动作,犯罪;8.5;193712;46450
谍影重重5 Jason Bourne;保罗·格林格拉斯;马特·达蒙,汤米·李·琼斯,艾丽西亚·维坎德,文森特·卡索,朱丽娅·斯蒂尔斯,里兹·阿迈德,内芙·加切夫,比尔·坎普,斯科特· 谢泼德,小田部阿基,拉斯科·阿特金斯,特雷弗·怀特,奥托·艾森度,艾米·德·毕罕;动作,悬疑,惊悚;7.5;183457;56159
莫娣 Maudie;艾斯林·沃什;莎莉·霍金斯,伊桑·霍克,卡瑞·玛切特,加布里埃尔·罗斯,扎卡里·贝内特,比利·麦克莱伦,劳伦斯·巴里,格雷戈·马龙,玛丝·伯纳德,大卫·菲恩,凯特·罗斯;剧情,爱情,传记;9.1;105244;36507
司藤;李木戈;景甜,张彬彬,李沐宸,张亦驰,吴俊余,金泽灏,邵峰,潘一祎,李依晓,袁成杰,陈芷琰,李木戈;剧情,爱情,奇幻;6.9;247104;111989
风平浪静;李霄峰;章宇,宋佳,王砚辉,李鸿其,邓恩熙,周政杰,陈瑾,张建亚,叶青,高宇航,赵龙豪,丁冠中,林津锋;剧情,爱情,犯罪;6.2;136843;56087
都挺好;简川訸;姚晨,倪大红,郭京飞,杨祐宁,李念,高鑫,高露,陈瑾,张晨光,王东,彭昱畅,康群智,侯长荣,田丽,王正权,红花,赵彦民,涂凌,石雨鑫,薇薇,李俊霆,王成,孙微木,岳旸,刘钧,赵千紫,李盟,范哲琛;剧情,家庭;7.7;325934;105693
哆啦A梦 ドラえもん;楠叶宏三,芝山努;大山信代,小原乃梨子,野村道子,立壁和也,肝付兼太;喜剧,科幻,动画,家庭,奇幻;9.5;141431;18749
异形 Alien;雷德利·斯科特;西格妮·韦弗,汤姆·斯凯里特,维罗尼卡·卡维特,哈利·戴恩·斯坦通,约翰·赫特,伊安·霍姆,亚非特·科托,博拉吉·巴迪乔,海伦·霍顿;科幻,恐怖;8.2;215387;37683
海洋奇缘 Moana;罗恩·克莱蒙兹,约翰·马斯克,唐·霍尔,克里斯·威廉姆斯;奥丽伊·卡瓦洛,道恩·强森,瑞切尔·豪斯,特穆拉·莫里森,克里斯·杰克逊,杰梅奈·克莱门特,尼可·斯彻金格,艾伦·图代克,奥斯卡·凯特利,特洛伊·波拉马鲁,普阿娜妮·卡瓦洛,露易丝·布什,Carlina Will;动画,歌舞,奇幻,冒险;7.5;166491;46780
廊桥遗梦 The Bridges of Madison County;克林特·伊斯特伍德;克林特·伊斯特伍德,梅丽尔·斯特里普,安妮·科利,维克多·斯勒扎克,吉姆·海尼,莎拉·凯瑟琳·施密特,克里斯托·弗克朗,菲利斯·里昂斯,戴布拉·莫克;剧情,爱情;8.7;198413;57079
冰川时代3 Ice Age: Dawn of the Dinosaurs;卡洛斯·沙尔丹哈,麦克·特米尔;Eunice Cho,麦丽·弗拉纳甘,杰森·弗里基奥内,比尔·哈德尔,Kelly Keaton,乔伊·金,奎恩·拉提法,丹尼斯·利瑞,Allegra Leguizamo,约翰·雷吉扎莫,Lucas Leguizamo,科里亚·刘易斯,简·林奇,乔希·佩克,西蒙·佩吉,雷·罗马诺,卡洛斯·沙尔丹哈,西恩·威廉·斯科特,辛迪·斯拉特里,克里斯·韦奇,克里斯汀·韦格,马特·阿德勒,史蒂夫·奥特曼,克劳迪娅·贝索,霍利·多夫,塞勒妮丝·雷瓦,蒂姆·诺德奎斯特,德维卡·帕利赫,乔纳森·柴可夫斯基,弗兰克·维尔克;喜剧,动画,冒险;8.3;219832;25938
爱情公寓;韦正;赵霁,金世佳,娄艺潇,陈赫,孙艺洲,王传君,李金铭,榕榕;喜剧,爱情;8.0;202787;39520
哥斯拉 Godzilla;加里斯·爱德华斯;亚伦·泰勒-约翰逊,卡梅隆·CJ·亚当斯,渡边谦,布莱恩·科兰斯顿,伊丽莎白·奥尔森,卡森·波尔德,莎莉·霍金斯,朱丽叶·比诺什,大卫·斯特雷泽恩,理查德·琼斯,维克多·罗塞克,帕特里克·萨邦圭,杰瑞德·基苏,卢克·罗德里克,詹姆斯·皮齐纳托,埃里克·李塞德,山村宪之介,加里·切克,神奈川宏幸,特瑞·陈,詹姆斯·D·德弗,宝田明,杰森·弗鲁卡瓦,布莱恩·马克金森,泰·奥尔森,阿尔·萨皮恩扎,彼得·新田,比尔·马钱特,克里斯蒂安·特西尔,泰勒·尼科斯,安东尼·科尼切尼,森田友希,莱恩·爱德华兹,基奥·伍尔福德,托比·莱文斯,艾伦·坡尔,艾米·福克斯,迈克尔·丹尼斯,玛茜·T·豪斯,凯文·欧格雷迪,埃里克·阿达尔,拉吉·K.波斯;动作,科幻,冒险,灾难;6.6;195768;57893
暗杀 암살;崔东勋;全智贤,李政宰,河正宇,吴达洙,赵震雄,李璟荣,崔德门,金义城,朴秉恩,陈庆,金海淑,曹承佑,河知元;剧情,动作,历史,犯罪;8.1;203970;57933
还珠格格第二部 還珠格格第二部;李平,孙树培;苏有朋,张铁林,周杰,林心如,范冰冰,刘丹,牟凤彬,王艳,赵敏芬,戴春荣,赵丽娟,李明启,朱宏嘉,陆诗雨,陈莹,薛亦伦,刘伟,鱼梦洁,李冰俏;剧情,喜剧,动作,爱情,古装;7.9;134340;21679
黄飞鸿 黃飛鴻;徐克;李连杰,元彪,关之琳,张学友,郑则仕,袁锦辉,邱建国,任世官,袁祥仁,熊欣欣;剧情,动作,武侠,古装;8.3;157601;17956
小岛惊魂 The Others;亚历杭德罗·阿梅纳瓦尔;妮可·基德曼,菲奥纽拉·弗拉纳根,克里斯托弗·埃克莱斯顿,阿拉济纳·曼恩,詹姆斯·本特利,埃里克·赛克斯,伊莲·卡西迪,勒妮·阿舍森,戈登·雷德,基思·艾伦,米歇尔·费尔利;剧情,悬疑,恐怖;8.2;256158;58568
鹿鼎记2：神龙教 鹿鼎記II 神龍教;王晶;周星驰,邱淑贞,林青霞,李嘉欣,陈百祥,刘松仁,温兆伦,汤镇业,吴君如,袁洁莹,陈德容,秦沛;喜剧,动作,武侠,古装;8.1;198961;17383
集结号;冯小刚;张涵予,邓超,袁文康,汤嬿,廖凡,王宝强,胡军,任泉,李晨,李乃文,胡明,罗海琼;剧情,传记,历史,战争;8.2;240699;34461
忌日快乐 Happy Death Day;克里斯托弗·兰登;杰西卡·罗德,伊瑟尔·布罗萨德,露比·莫迪恩,查尔斯·艾特肯,劳拉·克利夫顿,杰森·拜尔,罗布·梅洛,瑞秋·马休斯,拉姆齐·安德森,布雷迪·刘易斯,飞·武,泰内娅·因崔亚戈,布莱恩·克恩,卡瑞尔拉·史密斯,吉米·冈萨雷斯,比利·斯洛特,唐娜·杜普兰提尔,吉吉·埃内塔,林赛·G·史密斯,戴恩·罗兹,凯莱布·斯比尔亚兹,蜜西·雅格;悬疑,惊悚,恐怖;7.0;240735;69667
终结者 The Terminator;詹姆斯·卡梅隆;阿诺·施瓦辛格,迈克尔·比恩,琳达·汉密尔顿,保罗·温菲尔德,兰斯·亨利克森,里克·罗索维奇,贝丝·莫塔,阿尔·伯恩,迪克·米勒,弗兰科·哥伦布,比尔·帕克斯顿,布莱恩·汤普森,小威廉·威谢尔,菲利普·戈登,哈丽特·梅丁,玛丽安妮·穆勒雷尔,达雷尔·马普森,Shawn Schepps,Bruce M. Kerner,Brad Rearden,斯坦·耶尔,Norman Friedman,Barbara Powers,Chino 'Fats' Williams;动作,科幻,惊悚;8.2;186809;21736
律政俏佳人 Legally Blonde;罗伯特·路克蒂克;瑞茜·威瑟斯彭,卢克·威尔逊,塞尔玛·布莱尔,马修·戴维斯,维克多·加博,詹妮佛·库里奇,霍兰德·泰勒,艾丽·拉特,杰西卡·卡普肖,阿兰娜·乌巴赫,奥兹·珀金斯,琳达·卡德里尼,布鲁斯·托马斯,梅勒迪斯·斯科特·林恩,拉蔻儿·薇芝,萨曼莎·莱摩尔,凯利·尼克斯,迈克尔·B·希尔维,金伯利·麦卡洛,格雷格·塞拉诺,弗朗西斯卡·P·罗伯茨,丽莎·阿奇,阿斯·比斯利,凯文·库尼,特德·鲁尼,韦恩·费德曼,丹·麦克卢尔,尼可拉斯·兰格,道格·斯平扎,维多利亚·马奥尼,莱西·比曼,梅丽莎·安妮·扬,布洛迪·哈泽尔,昌尼·克莱,约翰·坎特威尔,特伦斯迈克尔,乔迪·哈里斯,萨莎·巴瑞斯,加里安布罗西亚,琼·布莱尔,加里·卡斯特罗·丘吉尔,柯特·克伦德尼,安珀·玛丽·戈茨,马克海德堡,理查德·希尔曼,赛斯·亚当·琼斯,约翰·卡普洛斯,迪恩海曼梅森,贝弗莉·波尔辛,斯科特·瑞恩·韦纳里,詹娜·Z·威尔逊;喜剧,爱情;7.4;157306;31639
我想吃掉你的胰脏 君の膵臓をたべたい;牛岛新一郎;高杉真宙,Lynn,藤井雪代,内田雄马,福岛润,田中敦子,三木真一郎;爱情,动画;6.9;98300;29004
摆渡人;张嘉佳;梁朝伟,金城武,陈奕迅,杨颖,张榕容,杜鹃,熊黛林,大鹏,马苏,崔志佳,贾玲,李宇春,鹿晗,欧弟,纳豆,金士杰,柯佳嬿,李灿森,喜翔,曹可凡,吴艺璇;喜剧,爱情;4.1;225353;96110
小妈妈 Petite maman;瑟琳·席安玛;尼娜·梅尔瑞斯,约瑟芬·桑兹,加布里埃尔·桑兹,Stéphane Varupenne,Margot Abascal,Florès Cardo,Josée Schuller,Guylène Péan;剧情,奇幻;7.9;9575;4311
名侦探柯南：贝克街的亡灵 名探偵コナン ベイカー街の亡霊;儿玉兼嗣;高山南,山崎和佳奈,神谷明,山口胜平,林原惠美,岩居由希子,高木涉,大谷育江,绪方惠美,高乃丽,爱河里花子,斋贺光希,田中秀幸,岛本须美,绪方贤一,茶风林,井上和彦,松井菜樱子,平田广明,藤本让,依田英助,堀部隆一,千叶一伸,小林清志,速水奖,速水圭,宝龟克寿,中岛聪彦,长嶝高士,细井治,增谷康纪,百百麻子,村井每早,莲池龙三,津嘉山正种,折笠爱;动画,悬疑,冒险;9.0;193353;37171
少年包青天;胡明凯;周杰,释小龙,任泉,李冰冰,陈道明,刘怡君,刘东浒,郑佩佩,王绘春,何中华;剧情,悬疑,古装;8.5;145010;35315
赌圣 賭聖;元奎,刘镇伟;周星驰,张敏,吴孟达,吴君如,秦沛,元奎,刘镇伟,卢宛茵,尹扬明;喜剧,动作;7.9;185521;13589
大闹天竺;王宝强;王宝强,白客,岳云鹏,柳岩,黄渤,林永健,马浴柯,陈佩斯,朱时茂,王祖蓝,刘昊然;喜剧,动作,冒险;3.7;114099;42436
找到你;吕乐;姚晨,马伊琍,袁文康,吴昊宸,王梓尘,陶昕然,高叶,齐欢;剧情,家庭;7.3;194379;62317
追虎擒龙;王晶,许悦铭;古天乐,梁家辉,吴镇宇,林家栋,姜皓文,胡然,郑则仕,蔡洁,林子善,刘浩龙,何浩文,黄浩然,龚慈恩,李天翔;剧情,动作,犯罪;5.0;62045;22899
笑傲江湖2：东方不败 笑傲江湖II東方不敗;程小东;李连杰,林青霞,关之琳,李嘉欣,李子雄,余安安,袁洁莹,刘洵,任世官,钱嘉乐;剧情,爱情,武侠,古装;8.5;183366;35098
